Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2
3711,11/02/2017,3,18,41,42,43,45,2,21
3709,04/02/2017,4,16,22,34,36,38,3,26
3707,28/01/2017,6,10,19,28,37,40,8,33
3705,21/01/2017,14,17,30,37,41,43,5,38
3703,14/01/2017,9,12,21,22,30,41,20,27
3701,07/01/2017,7,19,20,22,40,41,5,35
3699,31/12/2016,4,11,16,18,31,40,17,38
3697,24/12/2016,4,5,9,24,34,39,15,29
3695,17/12/2016,8,17,18,29,36,42,11,33
3693,10/12/2016,5,20,25,33,34,36,27,42
3691,03/12/2016,10,11,18,26,39,44,15,16
3689,26/11/2016,18,19,27,29,38,45,32,35
3687,19/11/2016,1,12,14,16,24,40,20,31
3685,12/11/2016,1,3,12,18,22,38,34,40
3683,05/11/2016,9,23,24,34,38,43,13,37
3681,29/10/2016,15,20,23,33,39,42,22,36
3679,22/10/2016,16,22,35,37,39,42,29,43
3677,15/10/2016,2,8,21,22,31,40,28,30
3675,08/10/2016,2,3,6,21,26,38,22,35
3673,01/10/2016,6,14,22,26,35,37,10,31
3671,24/09/2016,11,12,18,25,34,45,13,37
3669,17/09/2016,3,8,9,12,18,27,4,39
3667,10/09/2016,5,7,9,13,18,27,25,42
3665,03/09/2016,7,23,28,32,36,40,39,41
3663,27/08/2016,4,5,13,18,25,34,23,31
3661,20/08/2016,8,16,23,34,42,45,3,44
3659,13/08/2016,11,14,16,37,41,45,1,32
3657,06/08/2016,6,12,15,19,23,31,8,22
3655,30/07/2016,27,32,33,37,40,45,22,38
3653,23/07/2016,4,7,10,15,22,32,6,38
3651,16/07/2016,1,3,7,12,24,32,2,10
3649,09/07/2016,13,17,21,25,33,38,11,18
3647,02/07/2016,5,12,16,20,31,41,10,29
3645,25/06/2016,4,7,10,17,28,31,12,23
3643,18/06/2016,1,2,13,20,39,44,4,7
3641,11/06/2016,4,10,25,32,39,45,22,26
3639,04/06/2016,3,12,26,27,38,43,16,44
3637,28/05/2016,1,21,34,35,37,42,11,26
3635,21/05/2016,5,11,13,14,37,39,12,32
3633,14/05/2016,4,10,13,21,33,34,14,30
3631,07/05/2016,1,3,14,24,31,35,8,17
3629,30/04/2016,2,20,22,24,27,30,10,26
3627,23/04/2016,3,10,27,32,34,36,20,26
3625,16/04/2016,1,3,11,29,36,42,26,33
3623,09/04/2016,3,6,18,21,23,41,16,30
3621,02/04/2016,7,11,12,23,29,36,9,33
3619,26/03/2016,5,9,17,24,32,43,21,31
3617,19/03/2016,8,10,16,24,28,31,2,4
3615,12/03/2016,1,3,8,16,28,37,5,30
3613,05/03/2016,2,11,20,26,39,45,19,33
3611,27/02/2016,3,5,18,21,22,38,27,45
3609,20/02/2016,5,17,22,26,30,42,19,36
3607,13/02/2016,2,8,25,27,28,43,6,32
3605,06/02/2016,4,26,33,39,40,43,32,41
3603,30/01/2016,5,20,25,28,29,45,21,30
3601,23/01/2016,20,24,33,41,44,45,12,29
3599,16/01/2016,1,3,11,13,22,24,29,30
3597,09/01/2016,2,18,20,25,30,36,5,11
3595,02/01/2016,3,10,31,40,44,45,37,38
3593,26/12/2015,5,9,25,34,35,36,29,42
3591,19/12/2015,3,6,11,24,33,34,1,4
3589,12/12/2015,6,7,8,11,31,40,22,30
3587,05/12/2015,15,18,28,32,40,42,7,14
3585,28/11/2015,1,9,17,18,24,34,26,36
3583,21/11/2015,6,9,10,11,35,37,15,31
3581,14/11/2015,6,10,21,28,37,42,14,39
3579,07/11/2015,4,6,17,31,38,39,23,37
3577,31/10/2015,10,14,19,20,27,37,13,29
3575,24/10/2015,1,15,18,29,37,40,8,30
3573,17/10/2015,2,7,10,13,23,24,8,21
3571,10/10/2015,1,5,7,8,15,39,30,34
3569,03/10/2015,3,6,7,21,22,43,14,39
3567,26/09/2015,5,12,13,17,22,26,4,44
3565,19/09/2015,4,5,16,29,32,44,19,37
3563,12/09/2015,16,17,21,29,38,42,11,27
3561,05/09/2015,5,13,27,31,37,42,18,30
3559,29/08/2015,11,18,26,27,37,39,5,30
3557,22/08/2015,4,13,18,27,30,36,5,32
3555,15/08/2015,6,12,23,26,28,36,27,43
3553,08/08/2015,1,13,24,28,29,33,14,20
3551,01/08/2015,6,10,15,16,17,29,18,33
3549,25/07/2015,7,8,13,20,23,32,26,34
3547,18/07/2015,3,11,13,29,38,42,15,19
3545,11/07/2015,14,23,24,28,41,45,5,43
3543,04/07/2015,8,15,25,30,31,44,4,14
3541,27/06/2015,15,17,29,30,32,39,21,41
3539,20/06/2015,8,10,22,27,39,44,20,25
3537,13/06/2015,8,20,36,38,43,45,16,29
3535,06/06/2015,15,29,31,32,33,39,12,22
3533,30/05/2015,16,20,23,36,38,43,13,19
3531,23/05/2015,1,2,31,38,39,45,26,34
3529,16/05/2015,10,15,16,26,30,45,12,21
3527,09/05/2015,4,13,27,29,31,32,34,36
3525,02/05/2015,6,15,18,23,35,43,16,44
3523,25/04/2015,5,7,12,20,29,42,11,30
3521,18/04/2015,4,14,16,18,26,27,5,10
3519,11/04/2015,3,7,13,21,24,30,4,27
3517,04/04/2015,1,24,34,40,44,45,16,20
3515,28/03/2015,13,16,17,18,25,29,26,27
3513,21/03/2015,2,11,12,16,24,39,42,43
3511,14/03/2015,7,9,17,26,42,43,24,29
3509,07/03/2015,3,6,24,40,41,44,25,26
3507,28/02/2015,1,11,14,33,37,45,22,41
3505,21/02/2015,5,10,11,24,39,41,3,18
3503,14/02/2015,16,22,24,35,37,42,29,36
3501,07/02/2015,9,19,30,33,41,44,35,36
3499,31/01/2015,9,15,19,26,33,36,4,45
3497,24/01/2015,10,12,30,34,42,44,1,32
3495,17/01/2015,1,10,16,30,33,41,28,32
3493,10/01/2015,4,19,24,25,27,34,33,41
3491,03/01/2015,18,21,35,38,39,43,13,27
3489,27/12/2014,7,16,20,33,39,43,3,41
3487,20/12/2014,6,8,9,19,21,41,2,34
3485,13/12/2014,6,11,16,17,21,44,18,40
3483,06/12/2014,1,5,13,36,38,39,4,23
3481,29/11/2014,18,28,31,36,41,42,13,27
3479,22/11/2014,1,5,14,23,31,42,10,44
3477,15/11/2014,4,9,13,37,42,43,1,23
3475,08/11/2014,16,19,20,22,27,35,23,24
3473,01/11/2014,9,15,21,24,30,42,1,2
3471,25/10/2014,11,12,17,36,38,44,9,31
3469,18/10/2014,5,7,8,9,27,34,23,31
3467,11/10/2014,3,11,13,21,42,44,26,32
3465,04/10/2014,6,20,22,29,32,44,38,41
3463,27/09/2014,1,6,16,20,25,36,24,33
3461,20/09/2014,1,12,22,27,38,40,20,32
3459,13/09/2014,1,5,10,14,29,33,9,22
3457,06/09/2014,4,10,17,27,34,43,18,26
3455,30/08/2014,2,14,24,37,40,44,18,33
3453,23/08/2014,11,29,30,40,41,43,2,4
3451,16/08/2014,2,3,15,16,18,24,25,31
3449,09/08/2014,23,26,27,30,31,41,16,38
3447,02/08/2014,7,10,12,26,30,36,15,32
3445,26/07/2014,5,7,12,28,40,45,20,37
3443,19/07/2014,4,8,13,27,28,42,6,26
3441,12/07/2014,1,3,15,19,42,44,36,37
3439,05/07/2014,5,7,14,20,31,39,18,27
3437,28/06/2014,1,17,20,40,42,44,5,30
3435,21/06/2014,1,12,28,31,32,34,8,24
3433,14/06/2014,11,13,16,19,27,35,24,36
3431,07/06/2014,1,19,20,36,38,41,10,29
3429,31/05/2014,1,13,20,26,37,45,22,27
3427,24/05/2014,11,13,28,37,43,45,26,27
3425,17/05/2014,8,9,22,25,36,42,28,33
3423,10/05/2014,10,13,16,22,39,45,2,9
3421,03/05/2014,1,12,14,19,37,41,7,23
3419,26/04/2014,12,20,24,32,39,45,3,29
3417,19/04/2014,3,7,17,23,25,26,10,15
3415,12/04/2014,13,18,20,21,28,45,23,41
3413,05/04/2014,1,22,24,29,36,39,6,45
3411,29/03/2014,10,21,22,26,29,41,25,27
3409,22/03/2014,4,12,18,19,29,33,17,43
3407,15/03/2014,13,33,36,38,39,43,20,41
3405,08/03/2014,3,19,27,38,40,42,12,17
3403,01/03/2014,4,13,33,35,39,45,14,29
3401,22/02/2014,8,12,15,25,26,45,23,28
3399,15/02/2014,6,27,28,32,39,40,1,34
3397,08/02/2014,6,15,17,21,22,42,18,30
3395,01/02/2014,11,16,32,40,41,45,7,28
3393,25/01/2014,30,35,36,37,42,43,5,14
3391,18/01/2014,1,9,10,13,27,39,15,28
3389,11/01/2014,7,14,23,27,38,40,4,8
3387,04/01/2014,5,6,10,28,32,40,29,37
3385,28/12/2013,17,22,24,25,26,40,13,30
3383,21/12/2013,1,3,10,17,20,35,24,34
3381,14/12/2013,4,9,14,22,42,45,11,21
3379,07/12/2013,3,7,28,31,38,41,15,37
3377,30/11/2013,24,27,30,37,43,45,21,22
3375,23/11/2013,5,7,20,30,31,39,9,22
3373,16/11/2013,5,8,15,32,36,39,9,42
3371,09/11/2013,2,16,20,27,28,32,7,8
3369,02/11/2013,2,5,23,32,40,43,34,35
3367,26/10/2013,9,13,16,21,33,44,11,20
3365,19/10/2013,5,20,27,31,37,42,3,38
3363,12/10/2013,3,9,33,34,39,41,8,38
3361,05/10/2013,6,8,11,21,27,31,19,30
3359,28/09/2013,1,13,21,27,34,37,15,45
3357,21/09/2013,1,2,5,16,19,42,10,37
3355,14/09/2013,3,11,20,28,34,40,25,39
3353,07/09/2013,1,11,12,15,25,36,17,33
3351,31/08/2013,15,18,26,28,39,41,11,42
3349,24/08/2013,12,15,16,37,42,45,6,9
3347,17/08/2013,5,27,33,35,42,45,4,16
3345,10/08/2013,8,18,21,23,27,37,6,22
3343,03/08/2013,1,14,24,26,30,37,10,20
3341,27/07/2013,6,25,27,29,38,41,43,45
3339,20/07/2013,1,3,9,12,22,29,18,37
3337,13/07/2013,5,9,14,27,37,40,18,38
3335,06/07/2013,3,8,19,26,29,43,7,11
3333,29/06/2013,11,22,25,26,31,42,1,8
3331,22/06/2013,13,17,18,20,21,43,5,36
3329,15/06/2013,1,4,15,16,17,21,40,42
3327,08/06/2013,7,8,10,25,28,42,35,39
3325,01/06/2013,12,15,30,37,40,44,16,45
3323,25/05/2013,1,15,16,20,31,36,2,38
3321,18/05/2013,3,6,14,16,25,31,9,35
3319,11/05/2013,16,30,32,35,38,41,39,45
3317,04/05/2013,2,12,13,20,30,35,1,7
3315,27/04/2013,8,15,18,33,40,43,14,25
3313,20/04/2013,7,10,28,34,41,44,8,14
3311,13/04/2013,2,4,6,9,37,44,18,23
3309,06/04/2013,19,20,21,23,25,43,2,8
3307,30/03/2013,4,29,33,40,41,43,2,3
3305,23/03/2013,2,3,12,13,16,30,5,17
3303,16/03/2013,4,24,25,29,32,43,26,38
3301,09/03/2013,7,10,12,28,44,45,3,35
3299,02/03/2013,11,13,18,20,42,43,12,30
3297,23/02/2013,6,8,13,29,34,39,9,20
3295,16/02/2013,1,6,16,17,18,34,13,33
3293,09/02/2013,8,29,30,33,36,41,9,23
3291,02/02/2013,5,18,29,31,44,45,12,38
3289,26/01/2013,6,12,25,36,39,43,8,18
3287,19/01/2013,4,11,14,16,19,25,18,34
3285,12/01/2013,2,6,11,15,31,34,16,30
3283,05/01/2013,20,28,30,31,32,37,1,34
3281,29/12/2012,7,14,15,25,35,37,3,20
3279,22/12/2012,1,4,10,17,29,45,5,38
3277,15/12/2012,5,7,9,16,20,41,6,11
3275,08/12/2012,6,13,16,33,36,41,4,15
3273,01/12/2012,11,17,25,30,40,41,32,42
3271,24/11/2012,17,26,30,32,42,43,6,12
3269,17/11/2012,5,8,11,20,29,33,28,38
3267,10/11/2012,1,4,25,27,40,41,26,37
3265,03/11/2012,7,12,20,31,38,43,6,25
3263,27/10/2012,5,6,25,33,34,44,23,31
3261,20/10/2012,10,25,26,27,32,35,12,16
3259,13/10/2012,2,11,13,15,26,40,30,32
3257,06/10/2012,18,20,23,32,40,42,3,33
3255,29/09/2012,9,10,16,25,32,34,40,44
3253,22/09/2012,1,17,19,32,34,45,22,38
3251,15/09/2012,2,11,19,23,32,34,10,39
3249,08/09/2012,4,5,7,15,35,38,1,30
3247,01/09/2012,9,19,24,28,29,31,5,15
3245,25/08/2012,4,17,21,27,28,30,8,25
3243,18/08/2012,10,11,15,30,34,36,16,19
3241,11/08/2012,21,22,27,31,32,38,10,16
3239,04/08/2012,16,19,20,37,39,43,3,27
3237,28/07/2012,1,27,28,33,37,42,17,29
3235,21/07/2012,3,6,7,9,23,43,14,25
3233,14/07/2012,17,30,36,41,42,45,20,35
3231,07/07/2012,2,15,21,31,37,38,6,29
3229,30/06/2012,8,30,32,33,37,40,14,34
3227,23/06/2012,2,16,19,29,30,31,10,11
3225,16/06/2012,16,18,25,35,36,40,2,21
3223,09/06/2012,1,4,16,26,27,32,31,40
3221,02/06/2012,6,17,18,31,36,43,13,33
3219,26/05/2012,10,13,22,36,37,38,28,42
3217,19/05/2012,9,12,28,29,32,41,2,21
3215,12/05/2012,1,2,14,16,19,45,23,30
3213,05/05/2012,7,9,12,15,27,40,4,11
3211,28/04/2012,4,5,12,23,31,33,3,9
3209,21/04/2012,1,2,15,16,21,28,35,40
3207,14/04/2012,7,8,13,18,25,43,4,17
3205,07/04/2012,17,26,27,28,30,38,7,23
3203,31/03/2012,2,6,26,29,41,43,1,7
3201,24/03/2012,17,27,29,39,42,45,8,10
3199,17/03/2012,4,10,21,30,41,42,27,34
3197,10/03/2012,20,21,26,32,41,43,6,22
3195,03/03/2012,4,5,11,12,14,31,6,16
3193,25/02/2012,12,14,18,19,30,38,29,42
3191,18/02/2012,3,13,14,32,37,38,17,29
3189,11/02/2012,3,13,17,21,25,35,4,9
3187,04/02/2012,3,10,20,28,40,41,11,17
3185,28/01/2012,22,28,31,32,40,43,26,37
3183,21/01/2012,2,9,14,22,31,33,12,30
3181,14/01/2012,13,16,18,19,23,28,8,37
3179,07/01/2012,19,29,30,33,44,45,6,13
3177,31/12/2011,7,8,28,33,38,41,4,37
3175,24/12/2011,1,4,7,9,12,30,28,41
3173,17/12/2011,6,11,12,24,26,36,27,43
3171,10/12/2011,9,18,29,32,33,41,27,45
3169,03/12/2011,2,9,13,18,26,44,1,7
3167,26/11/2011,9,12,22,28,41,42,24,27
3165,19/11/2011,9,18,23,24,33,36,4,34
3163,12/11/2011,4,5,10,17,22,40,8,38
3161,05/11/2011,2,6,12,18,44,45,28,32
3159,29/10/2011,11,12,15,20,32,33,14,19
3157,22/10/2011,7,19,28,29,43,45,24,27
3155,15/10/2011,8,12,18,21,24,30,33,37
3153,08/10/2011,7,18,22,37,38,39,23,27
3151,01/10/2011,19,25,30,38,42,44,4,20
3149,24/09/2011,7,10,11,14,37,39,20,40
3147,17/09/2011,8,10,12,21,37,42,33,40
3145,10/09/2011,10,20,21,25,38,39,4,43
3143,03/09/2011,1,7,21,22,23,27,29,40
3141,27/08/2011,4,8,16,32,33,34,26,29
3139,20/08/2011,3,24,26,30,32,39,4,8
3137,13/08/2011,8,13,15,22,33,34,10,41
3135,06/08/2011,4,6,9,27,39,43,16,34
3133,30/07/2011,2,5,9,16,23,31,34,38
3131,23/07/2011,1,4,22,24,31,33,6,10
3129,16/07/2011,11,16,17,29,35,38,24,34
3127,09/07/2011,15,32,34,36,41,45,39,40
3125,02/07/2011,6,10,14,17,39,40,3,5
3123,25/06/2011,10,11,12,15,22,28,5,13
3121,18/06/2011,1,6,14,19,32,42,10,34
3119,11/06/2011,3,11,17,30,36,38,15,42
3117,04/06/2011,1,19,22,23,27,45,3,38
3115,28/05/2011,1,9,11,13,33,35,22,30
3113,21/05/2011,8,13,15,19,27,43,16,34
3111,14/05/2011,4,10,18,22,31,45,24,40
3109,07/05/2011,12,24,26,28,39,44,4,36
3107,30/04/2011,1,7,15,33,35,40,39,45
3105,23/04/2011,5,10,13,25,32,37,24,41
3103,16/04/2011,1,14,18,22,23,29,28,39
3101,09/04/2011,3,4,11,13,41,45,8,39
3099,02/04/2011,10,14,24,30,40,41,2,8
3097,26/03/2011,1,14,23,34,41,42,27,37
3095,19/03/2011,2,6,7,8,18,21,11,24
3093,12/03/2011,4,13,17,21,38,40,18,32
3091,05/03/2011,12,19,22,26,32,33,1,8
3089,26/02/2011,1,4,21,23,24,43,10,32
3087,19/02/2011,1,5,14,23,41,45,2,8
3085,12/02/2011,4,9,10,26,38,44,23,40
3083,05/02/2011,5,11,19,30,42,45,18,24
3081,29/01/2011,2,11,15,19,20,25,1,13
3079,22/01/2011,3,15,17,21,34,43,16,41
3077,15/01/2011,10,12,23,26,27,31,4,24
3075,08/01/2011,5,6,19,23,35,38,18,22
3073,31/12/2010,10,11,13,19,24,41,3,17
3071,25/12/2010,4,11,12,22,29,38,30,41
3069,18/12/2010,4,13,25,26,42,44,15,22
3067,11/12/2010,10,16,18,26,32,33,12,19
3065,04/12/2010,9,10,12,13,39,43,1,31
3063,27/11/2010,2,12,15,24,35,37,5,40
3061,20/11/2010,7,19,21,25,38,42,27,32
3059,13/11/2010,14,15,26,27,35,41,23,38
3057,06/11/2010,15,24,25,28,30,39,7,45
3055,30/10/2010,4,6,7,27,31,45,15,20
3053,23/10/2010,12,23,31,34,39,43,1,9
3051,16/10/2010,15,19,28,36,39,41,11,34
3049,09/10/2010,1,11,24,26,32,36,8,14
3047,02/10/2010,8,9,29,33,37,42,1,3
3045,25/09/2010,12,22,24,26,31,38,19,29
3043,18/09/2010,7,18,31,35,40,44,15,38
3041,11/09/2010,5,11,15,36,42,44,1,4
3039,04/09/2010,1,20,28,35,36,44,3,21
3037,28/08/2010,3,9,11,29,30,34,10,38
3035,21/08/2010,1,8,11,16,31,38,15,33
3033,14/08/2010,2,12,13,29,31,40,21,25
3031,07/08/2010,5,28,35,39,40,41,21,36
3029,31/07/2010,4,14,25,35,41,43,6,28
3027,24/07/2010,6,13,16,24,30,33,34,43
3025,17/07/2010,2,11,17,19,39,40,14,20
3023,10/07/2010,17,23,30,38,40,42,15,24
3021,03/07/2010,1,6,10,15,26,40,4,36
3019,26/06/2010,2,5,10,22,37,38,21,23
3017,19/06/2010,5,11,13,16,25,29,37,43
3015,12/06/2010,1,7,11,21,23,43,20,35
3013,05/06/2010,5,13,24,26,28,41,20,25
3011,29/05/2010,2,12,19,22,30,40,11,39
3009,22/05/2010,7,8,16,17,27,40,11,43
3007,15/05/2010,4,6,13,15,18,35,8,16
3005,08/05/2010,7,21,34,39,42,43,3,4
3003,01/05/2010,20,24,25,29,31,34,5,44
3001,24/04/2010,4,5,12,18,20,25,7,37
2999,17/04/2010,5,6,22,32,36,43,25,34
2997,10/04/2010,15,17,27,33,40,43,24,44
2995,03/04/2010,12,18,21,22,33,38,2,28
2993,27/03/2010,9,13,16,23,27,33,21,42
2991,20/03/2010,10,12,15,26,29,40,3,39
2989,13/03/2010,7,17,24,31,42,43,35,36
2987,06/03/2010,4,18,21,24,28,41,33,34
2985,27/02/2010,20,26,29,31,33,40,12,30
2983,20/02/2010,1,13,18,33,36,37,11,22
2981,13/02/2010,1,7,14,34,41,45,15,21
2979,06/02/2010,8,11,23,25,27,42,20,33
2977,30/01/2010,12,13,15,21,22,43,11,42
2975,23/01/2010,8,13,15,18,29,38,1,36
2973,16/01/2010,14,27,32,33,36,41,6,35
2971,09/01/2010,6,8,18,20,36,45,29,39
2969,02/01/2010,5,12,16,33,34,42,30,32
2967,26/12/2009,6,9,11,24,28,42,36,37
2965,19/12/2009,2,3,5,7,9,23,26,41
2963,12/12/2009,1,2,24,25,31,34,23,44
2961,05/12/2009,1,10,26,31,32,44,38,45
2959,28/11/2009,11,19,28,36,37,40,17,29
2957,21/11/2009,4,16,19,23,28,44,33,41
2955,14/11/2009,2,9,13,23,26,36,16,25
2953,07/11/2009,1,14,21,29,33,36,4,25
2951,31/10/2009,6,24,29,30,37,44,9,35
2949,24/10/2009,2,14,16,23,34,39,12,17
2947,17/10/2009,2,10,22,24,26,44,5,31
2945,10/10/2009,2,6,13,14,25,32,31,33
2943,03/10/2009,3,16,18,32,39,42,19,40
2941,26/09/2009,1,7,13,16,30,40,22,23
2939,19/09/2009,2,20,24,29,33,41,13,19
2937,12/09/2009,4,21,30,35,42,43,31,45
2935,05/09/2009,9,11,20,29,34,39,31,36
2933,29/08/2009,4,23,30,35,36,43,15,18
2931,22/08/2009,7,11,32,37,38,40,16,24
2929,15/08/2009,1,18,28,30,37,43,2,11
2927,08/08/2009,14,19,29,33,39,40,16,22
2925,01/08/2009,5,16,24,27,28,40,8,29
2923,25/07/2009,5,14,16,25,35,38,36,39
2921,18/07/2009,2,5,6,8,12,13,14,40
2919,11/07/2009,5,9,20,29,33,37,12,24
2917,04/07/2009,1,13,25,38,43,45,6,10
2915,27/06/2009,9,14,20,24,25,38,5,26
2913,20/06/2009,1,15,17,33,34,37,32,44
2911,13/06/2009,13,19,22,29,36,42,23,45
2909,06/06/2009,19,20,31,36,43,45,34,35
2907,30/05/2009,6,26,33,34,40,45,1,22
2905,23/05/2009,6,8,18,25,27,37,10,28
2903,16/05/2009,3,14,15,19,25,44,16,26
2901,09/05/2009,8,13,14,22,24,31,2,40
2899,02/05/2009,1,5,38,41,42,45,14,32
2897,25/04/2009,3,13,17,32,38,44,43,45
2895,18/04/2009,3,5,8,14,30,34,6,9
2893,11/04/2009,1,2,10,27,41,43,42,44
2891,04/04/2009,1,8,34,37,38,42,23,40
2889,28/03/2009,5,21,22,25,27,38,8,43
2887,21/03/2009,3,13,18,19,29,38,9,12
2885,14/03/2009,6,17,20,26,38,41,3,13
2883,07/03/2009,2,6,12,34,39,41,28,36
2881,28/02/2009,17,21,22,24,28,34,6,35
2879,21/02/2009,8,10,13,17,26,33,6,35
2877,14/02/2009,5,6,20,23,24,26,28,29
2875,07/02/2009,2,5,18,20,27,37,6,43
2873,31/01/2009,4,5,15,18,30,34,8,13
2871,24/01/2009,18,24,31,32,41,44,4,14
2869,17/01/2009,4,9,27,37,42,45,18,36
2867,10/01/2009,8,12,16,19,22,42,28,40
2865,03/01/2009,17,25,28,34,37,45,8,23
2863,27/12/2008,6,16,24,26,36,41,25,43
2861,20/12/2008,18,20,22,27,28,40,8,24
2859,13/12/2008,7,10,11,21,34,40,3,22
2857,06/12/2008,1,2,10,15,17,21,16,28
2855,29/11/2008,6,18,30,37,43,44,11,23
2853,22/11/2008,1,11,15,28,35,39,24,33
2851,15/11/2008,14,22,28,34,39,40,18,33
2849,08/11/2008,7,11,14,25,31,32,6,26
2847,01/11/2008,5,11,21,23,30,35,17,39
2845,25/10/2008,21,22,24,30,32,45,1,38
2843,18/10/2008,1,9,12,30,38,42,14,26
2841,11/10/2008,10,15,17,18,20,31,27,37
2839,04/10/2008,19,24,27,36,40,43,11,42
2837,27/09/2008,4,9,10,11,21,28,7,33
2835,20/09/2008,4,7,19,22,25,28,14,18
2833,13/09/2008,9,11,20,30,41,45,6,40
2831,06/09/2008,5,11,29,31,32,42,6,39
2829,30/08/2008,1,4,10,27,33,44,13,31
2827,23/08/2008,7,8,13,23,28,40,34,37
2825,16/08/2008,2,5,18,24,36,42,35,38
2823,09/08/2008,12,26,34,40,43,45,21,29
2821,02/08/2008,3,9,14,24,40,42,28,36
2819,26/07/2008,8,14,22,24,25,30,10,38
2817,19/07/2008,8,9,33,34,40,43,11,32
2815,12/07/2008,27,29,37,38,39,45,36,44
2813,05/07/2008,3,9,20,31,40,45,8,44
2811,28/06/2008,3,10,11,37,40,44,26,36
2809,21/06/2008,3,12,17,24,37,44,21,36
2807,14/06/2008,3,4,8,34,35,44,2,6
2805,07/06/2008,2,12,20,27,30,31,8,32
2803,31/05/2008,6,7,9,12,32,45,5,30
2801,24/05/2008,15,30,32,33,34,45,41,44
2799,17/05/2008,6,10,11,15,28,39,5,43
2797,10/05/2008,1,3,6,21,22,40,4,24
2795,03/05/2008,7,18,22,24,41,43,2,3
2793,26/04/2008,4,30,34,35,38,41,6,10
2791,19/04/2008,18,23,25,33,37,43,12,15
2789,12/04/2008,20,21,31,32,38,39,2,11
2787,05/04/2008,3,5,13,26,29,32,8,43
2785,29/03/2008,5,8,17,29,32,40,2,38
2783,22/03/2008,3,10,21,27,29,36,20,44
2781,15/03/2008,6,10,26,35,39,43,21,27
2779,08/03/2008,3,11,31,35,41,44,40,45
2777,01/03/2008,5,15,18,19,21,30,33,34
2775,23/02/2008,21,24,34,39,42,43,4,28
2773,16/02/2008,1,9,13,19,24,41,34,38
2771,09/02/2008,9,10,21,26,28,31,12,14
2769,02/02/2008,12,26,30,31,40,42,2,4
2767,26/01/2008,4,12,19,24,35,40,26,29
2765,19/01/2008,3,19,22,29,37,43,12,15
2763,12/01/2008,3,15,24,35,41,42,11,16
2761,05/01/2008,4,7,13,21,29,38,8,34
